transaction_id,user_id,merchant_id,device_id,amount,user_age,account_balance,merchant_category,payment_method,device_type,location_country,transaction_timestamp,is_fraud
TX0029,USR009,MERCH004,DEV005,82.5,49,935.0,electronics,debit,desktop,CA,2026-07-18 05:00:00,0
TX0030,USR000,MERCH000,DEV006,85.0,50,950.0,retail,credit,mobile,CA,2026-07-18 06:00:00,0
TX0031,USR001,MERCH001,DEV007,87.5,51,965.0,electronics,debit,desktop,CA,2026-07-18 07:00:00,0
TX0032,USR002,MERCH002,DEV000,90.0,52,980.0,retail,debit,mobile,US,2026-07-18 08:00:00,0
TX0033,USR003,MERCH003,DEV001,92.5,53,995.0,electronics,credit,desktop,CA,2026-07-18 09:00:00,0
TX0034,USR004,MERCH004,DEV002,95.0,54,1010.0,retail,debit,mobile,CA,2026-07-18 10:00:00,0
TX0035,USR005,MERCH000,DEV003,97.5,55,1025.0,electronics,debit,desktop,CA,2026-07-18 11:00:00,0
TX0036,USR006,MERCH001,DEV004,100.0,56,1040.0,retail,credit,mobile,US,2026-07-18 12:00:00,0
TX0037,USR007,MERCH002,DEV005,102.5,57,1055.0,electronics,debit,desktop,CA,2026-07-18 13:00:00,0
TX0038,USR008,MERCH003,DEV006,105.0,58,1070.0,retail,debit,mobile,CA,2026-07-18 14:00:00,0
TX0039,USR009,MERCH004,DEV007,107.5,59,1085.0,electronics,credit,desktop,CA,2026-07-18 15:00:00,0
TX0040,USR000,MERCH000,DEV000,110.0,60,1100.0,retail,debit,mobile,US,2026-07-18 16:00:00,1
TX0041,USR001,MERCH001,DEV001,112.5,61,1115.0,electronics,debit,desktop,CA,2026-07-18 17:00:00,0
TX0042,USR002,MERCH002,DEV002,115.0,62,1130.0,retail,credit,mobile,CA,2026-07-18 18:00:00,0
TX0043,USR003,MERCH003,DEV003,117.5,63,1145.0,electronics,debit,desktop,CA,2026-07-18 19:00:00,0
TX0044,USR004,MERCH004,DEV004,120.0,64,1160.0,retail,debit,mobile,US,2026-07-18 20:00:00,0
TX0045,USR005,MERCH000,DEV005,122.5,20,1175.0,electronics,credit,desktop,CA,2026-07-18 21:00:00,0
TX0046,USR006,MERCH001,DEV006,125.0,21,1190.0,retail,debit,mobile,CA,2026-07-18 22:00:00,0
TX0047,USR007,MERCH002,DEV007,127.5,22,1205.0,electronics,debit,desktop,CA,2026-07-18 23:00:00,0
TX0048,USR008,MERCH003,DEV000,130.0,23,1220.0,retail,credit,mobile,US,2026-07-19 00:00:00,0
TX0049,USR009,MERCH004,DEV001,132.5,24,1235.0,electronics,debit,desktop,CA,2026-07-19 01:00:00,0
TX0050,USR000,MERCH000,DEV002,135.0,25,1250.0,retail,debit,mobile,CA,2026-07-19 02:00:00,0
TX0051,USR001,MERCH001,DEV003,137.5,26,1265.0,electronics,credit,desktop,CA,2026-07-19 03:00:00,0
TX0052,USR002,MERCH002,DEV004,140.0,27,1280.0,retail,debit,mobile,US,2026-07-19 04:00:00,0
TX0053,USR003,MERCH003,DEV005,142.5,28,1295.0,electronics,debit,desktop,CA,2026-07-19 05:00:00,0
TX0054,USR004,MERCH004,DEV006,145.0,29,1310.0,retail,credit,mobile,CA,2026-07-19 06:00:00,0
TX0055,USR005,MERCH000,DEV007,147.5,30,1325.0,electronics,debit,desktop,CA,2026-07-19 07:00:00,0
TX0056,USR006,MERCH001,DEV000,150.0,31,1340.0,retail,debit,mobile,US,2026-07-19 08:00:00,0
TX0057,USR007,MERCH002,DEV001,152.5,32,1355.0,electronics,credit,desktop,CA,2026-07-19 09:00:00,0
TX0058,USR008,MERCH003,DEV002,155.0,33,1370.0,retail,debit,mobile,CA,2026-07-19 10:00:00,0
TX0059,USR009,MERCH004,DEV003,157.5,34,1385.0,electronics,debit,desktop,CA,2026-07-19 11:00:00,0
TX0060,USR000,MERCH000,DEV004,160.0,35,1400.0,retail,credit,mobile,US,2026-07-19 12:00:00,1
TX0061,USR001,MERCH001,DEV005,162.5,36,1415.0,electronics,debit,desktop,CA,2026-07-19 13:00:00,0
TX0062,USR002,MERCH002,DEV006,165.0,37,1430.0,retail,debit,mobile,CA,2026-07-19 14:00:00,0
TX0063,USR003,MERCH003,DEV007,167.5,38,1445.0,electronics,credit,desktop,CA,2026-07-19 15:00:00,0
TX0064,USR004,MERCH004,DEV000,170.0,39,1460.0,retail,debit,mobile,US,2026-07-19 16:00:00,0
TX0065,USR005,MERCH000,DEV001,172.5,40,1475.0,electronics,debit,desktop,CA,2026-07-19 17:00:00,0
TX0066,USR006,MERCH001,DEV002,175.0,41,1490.0,retail,credit,mobile,CA,2026-07-19 18:00:00,0
TX0067,USR007,MERCH002,DEV003,177.5,42,1505.0,electronics,debit,desktop,CA,2026-07-19 19:00:00,0
TX0068,USR008,MERCH003,DEV004,180.0,43,1520.0,retail,debit,mobile,US,2026-07-19 20:00:00,0
TX0069,USR009,MERCH004,DEV005,182.5,44,1535.0,electronics,credit,desktop,CA,2026-07-19 21:00:00,0
TX0070,USR000,MERCH000,DEV006,185.0,45,1550.0,retail,debit,mobile,CA,2026-07-19 22:00:00,0
TX0071,USR001,MERCH001,DEV007,187.5,46,1565.0,electronics,debit,desktop,CA,2026-07-19 23:00:00,0
TX0072,USR002,MERCH002,DEV000,190.0,47,1580.0,retail,credit,mobile,US,2026-07-20 00:00:00,0
TX0073,USR003,MERCH003,DEV001,192.5,48,1595.0,electronics,debit,desktop,CA,2026-07-20 01:00:00,0
TX0074,USR004,MERCH004,DEV002,195.0,49,1610.0,retail,debit,mobile,CA,2026-07-20 02:00:00,0
TX0075,USR005,MERCH000,DEV003,197.5,50,1625.0,electronics,credit,desktop,CA,2026-07-20 03:00:00,0
TX0076,USR006,MERCH001,DEV004,200.0,51,1640.0,retail,debit,mobile,US,2026-07-20 04:00:00,0
TX0077,USR007,MERCH002,DEV005,202.5,52,1655.0,electronics,debit,desktop,CA,2026-07-20 05:00:00,0
TX0078,USR008,MERCH003,DEV006,205.0,53,1670.0,retail,credit,mobile,CA,2026-07-20 06:00:00,0
TX0079,USR009,MERCH004,DEV007,207.5,54,1685.0,electronics,debit,desktop,CA,2026-07-20 07:00:00,0
TX0080,USR000,MERCH000,DEV000,210.0,55,1700.0,retail,debit,mobile,US,2026-07-20 08:00:00,1
TX0081,USR001,MERCH001,DEV001,212.5,56,1715.0,electronics,credit,desktop,CA,2026-07-20 09:00:00,0
TX0082,USR002,MERCH002,DEV002,215.0,57,1730.0,retail,debit,mobile,CA,2026-07-20 10:00:00,0
TX0083,USR003,MERCH003,DEV003,217.5,58,1745.0,electronics,debit,desktop,CA,2026-07-20 11:00:00,0
TX0084,USR004,MERCH004,DEV004,220.0,59,1760.0,retail,credit,mobile,US,2026-07-20 12:00:00,0
TX0085,USR005,MERCH000,DEV005,222.5,60,1775.0,electronics,debit,desktop,CA,2026-07-20 13:00:00,0
TX0086,USR006,MERCH001,DEV006,225.0,61,1790.0,retail,debit,mobile,CA,2026-07-20 14:00:00,0
TX0087,USR007,MERCH002,DEV007,227.5,62,1805.0,electronics,credit,desktop,CA,2026-07-20 15:00:00,0
TX0088,USR008,MERCH003,DEV000,230.0,63,1820.0,retail,debit,mobile,US,2026-07-20 16:00:00,0
TX0089,USR009,MERCH004,DEV001,232.5,64,1835.0,electronics,debit,desktop,CA,2026-07-20 17:00:00,0
TX0090,USR000,MERCH000,DEV002,235.0,20,1850.0,retail,credit,mobile,CA,2026-07-20 18:00:00,0
TX0091,USR001,MERCH001,DEV003,237.5,21,1865.0,electronics,debit,desktop,CA,2026-07-20 19:00:00,0
TX0092,USR002,MERCH002,DEV004,240.0,22,1880.0,retail,debit,mobile,US,2026-07-20 20:00:00,0
TX0093,USR003,MERCH003,DEV005,242.5,23,1895.0,electronics,credit,desktop,CA,2026-07-20 21:00:00,0
TX0094,USR004,MERCH004,DEV006,245.0,24,1910.0,retail,debit,mobile,CA,2026-07-20 22:00:00,0
TX0095,USR005,MERCH000,DEV007,247.5,25,1925.0,electronics,debit,desktop,CA,2026-07-20 23:00:00,0
TX0096,USR006,MERCH001,DEV000,250.0,26,1940.0,retail,credit,mobile,US,2026-07-21 00:00:00,0
TX0097,USR007,MERCH002,DEV001,252.5,27,1955.0,electronics,debit,desktop,CA,2026-07-21 01:00:00,0
TX0098,USR008,MERCH003,DEV002,255.0,28,1970.0,retail,debit,mobile,CA,2026-07-21 02:00:00,0
TX0099,USR009,MERCH004,DEV003,257.5,29,1985.0,electronics,credit,desktop,CA,2026-07-21 03:00:00,0
